frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1920,1080,0.0266,0.0012,0.0039,0.0819,0.0003,0.1140,1307.98
1,1920,1080,0.0470,0.0010,0.0036,0.0162,0.0032,0.0710,1314.26
2,1920,1080,0.0254,0.0010,0.0036,0.0161,0.0002,0.0463,1314.78
3,1920,1080,0.0260,0.0010,0.0037,0.0161,0.0002,0.0470,1314.78
4,1920,1080,0.0254,0.0011,0.0036,0.0163,0.0002,0.0466,1314.78
5,1920,1080,0.0255,0.0010,0.0036,0.0162,0.0002,0.0465,1314.78
6,1920,1080,0.0359,0.0009,0.0037,0.0161,0.0006,0.0572,1314.78
7,1920,1080,0.0263,0.0010,0.0037,0.0161,0.0003,0.0473,1314.78
8,1920,1080,0.0259,0.0009,0.0037,0.0161,0.0003,0.0469,1314.78
9,1920,1080,0.0285,0.0010,0.0039,0.0162,0.0004,0.0500,1314.78
10,1920,1080,0.0262,0.0011,0.0037,0.0175,0.0004,0.0488,1314.78
11,1920,1080,0.0265,0.0010,0.0038,0.0174,0.0004,0.0491,1314.78
12,1920,1080,0.0359,0.0010,0.0043,0.0160,0.0002,0.0573,1314.78
13,1920,1080,0.0257,0.0009,0.0036,0.0160,0.0003,0.0464,1314.78
14,1920,1080,0.0257,0.0010,0.0037,0.0159,0.0002,0.0465,1314.78
15,1920,1080,0.0291,0.0009,0.0037,0.0160,0.0002,0.0499,1314.78
16,1920,1080,0.0260,0.0010,0.0036,0.0159,0.0004,0.0468,1314.78
17,1920,1080,0.0273,0.0012,0.0034,0.0160,0.0003,0.0483,1314.78
18,1920,1080,0.0258,0.0010,0.0035,0.0160,0.0003,0.0466,1314.78
19,1920,1080,0.0325,0.0010,0.0038,0.0159,0.0003,0.0534,1314.78
20,1920,1080,0.0258,0.0010,0.0036,0.0161,0.0006,0.0471,1314.78
21,1920,1080,0.0378,0.0011,0.0036,0.0160,0.0002,0.0587,1314.78
22,1920,1080,0.0279,0.0010,0.0037,0.0159,0.0004,0.0489,1314.78
23,1920,1080,0.0263,0.0010,0.0037,0.0161,0.0003,0.0475,1314.78
24,1920,1080,0.0260,0.0010,0.0038,0.0161,0.0003,0.0473,1314.78
25,1920,1080,0.0257,0.0011,0.0037,0.0160,0.0002,0.0467,1314.78
26,1920,1080,0.0410,0.0011,0.0038,0.0160,0.0003,0.0622,1314.78
27,1920,1080,0.0256,0.0011,0.0037,0.0160,0.0002,0.0465,1314.78
28,1920,1080,0.0255,0.0010,0.0035,0.0159,0.0003,0.0463,1314.78
29,1920,1080,0.0336,0.0010,0.0037,0.0160,0.0002,0.0545,1314.78
30,1920,1080,0.0256,0.0010,0.0037,0.0160,0.0003,0.0466,1314.78
31,1920,1080,0.0258,0.0010,0.0035,0.0160,0.0003,0.0466,1314.78
32,1920,1080,0.0288,0.0009,0.0038,0.0164,0.0003,0.0503,1314.78
33,1920,1080,0.0264,0.0010,0.0036,0.0159,0.0004,0.0473,1314.78
34,1920,1080,0.0272,0.0010,0.0037,0.0160,0.0003,0.0482,1314.78
35,1920,1080,0.0296,0.0010,0.0037,0.0205,0.0004,0.0553,1314.78
36,1920,1080,0.0385,0.0010,0.0036,0.0160,0.0002,0.0593,1314.78
37,1920,1080,0.0265,0.0010,0.0037,0.0159,0.0003,0.0475,1314.78
38,1920,1080,0.0298,0.0009,0.0035,0.0159,0.0003,0.0504,1314.78
39,1920,1080,0.0257,0.0010,0.0034,0.0160,0.0003,0.0464,1314.78
40,1920,1080,0.0261,0.0011,0.0039,0.0163,0.0002,0.0476,1314.78
41,1920,1080,0.0261,0.0009,0.0036,0.0162,0.0003,0.0471,1314.78
42,1920,1080,0.0277,0.0011,0.0040,0.0165,0.0003,0.0495,1314.78
43,1920,1080,0.0260,0.0009,0.0035,0.0157,0.0003,0.0464,1314.78
44,1920,1080,0.0259,0.0009,0.0034,0.0159,0.0003,0.0464,1314.78
45,1920,1080,0.0289,0.0011,0.0041,0.0160,0.0003,0.0504,1314.78
46,1920,1080,0.0280,0.0010,0.0037,0.0162,0.0003,0.0492,1314.78
47,1920,1080,0.0259,0.0010,0.0035,0.0159,0.0002,0.0465,1314.78
48,1920,1080,0.0259,0.0010,0.0035,0.0159,0.0003,0.0466,1314.78
49,1920,1080,0.0277,0.0010,0.0037,0.0160,0.0003,0.0486,1314.78
50,1920,1080,0.0291,0.0009,0.0035,0.0160,0.0003,0.0498,1314.78
51,1920,1080,0.0348,0.0011,0.0038,0.0160,0.0004,0.0561,1314.78
52,1920,1080,0.0275,0.0010,0.0036,0.0164,0.0003,0.0488,1314.78
53,1920,1080,0.0328,0.0010,0.0035,0.0165,0.0008,0.0546,1314.78
54,1920,1080,0.0264,0.0009,0.0036,0.0159,0.0003,0.0471,1314.78
55,1920,1080,0.0258,0.0010,0.0036,0.0159,0.0004,0.0465,1314.78
56,1920,1080,0.0288,0.0010,0.0036,0.0160,0.0003,0.0496,1314.78
57,1920,1080,0.0270,0.0011,0.0037,0.0159,0.0003,0.0479,1314.78
58,1920,1080,0.0261,0.0009,0.0035,0.0160,0.0002,0.0468,1314.78
59,1920,1080,0.0268,0.0009,0.0038,0.0167,0.0002,0.0484,1314.78
60,1920,1080,0.0305,0.0009,0.0035,0.0159,0.0003,0.0511,1314.78
61,1920,1080,0.0262,0.0009,0.0033,0.0158,0.0002,0.0465,1314.78
62,1920,1080,0.0274,0.0009,0.0035,0.0159,0.0002,0.0480,1314.78
63,1920,1080,0.0261,0.0010,0.0035,0.0157,0.0003,0.0466,1314.78
64,1920,1080,0.0290,0.0009,0.0034,0.0159,0.0003,0.0495,1314.78
65,1920,1080,0.0261,0.0009,0.0036,0.0160,0.0002,0.0469,1314.78
66,1920,1080,0.0276,0.0010,0.0036,0.0159,0.0003,0.0484,1314.78
67,1920,1080,0.0261,0.0009,0.0034,0.0158,0.0002,0.0465,1314.78
68,1920,1080,0.0263,0.0011,0.0034,0.0161,0.0003,0.0471,1314.78
69,1920,1080,0.0261,0.0009,0.0035,0.0158,0.0003,0.0467,1314.78
70,1920,1080,0.0259,0.0009,0.0034,0.0164,0.0047,0.0512,1314.78
71,1920,1080,0.0288,0.0010,0.0036,0.0159,0.0003,0.0496,1314.78
72,1920,1080,0.0258,0.0010,0.0035,0.0159,0.0002,0.0464,1314.78
73,1920,1080,0.0350,0.0010,0.0036,0.0171,0.0003,0.0570,1314.78
74,1920,1080,0.0304,0.0009,0.0034,0.0159,0.0002,0.0507,1314.78
75,1920,1080,0.0263,0.0010,0.0035,0.0159,0.0003,0.0470,1314.78
76,1920,1080,0.0260,0.0009,0.0035,0.0159,0.0002,0.0465,1314.78
77,1920,1080,0.0260,0.0010,0.0034,0.0159,0.0003,0.0467,1314.78
78,1920,1080,0.0285,0.0013,0.0036,0.0161,0.0003,0.0499,1314.78
79,1920,1080,0.0260,0.0010,0.0035,0.0160,0.0003,0.0468,1314.78
80,1920,1080,0.0375,0.0015,0.0036,0.0168,0.0003,0.0595,1314.78
81,1920,1080,0.0366,0.0010,0.0034,0.0160,0.0003,0.0573,1314.78
82,1920,1080,0.0271,0.0010,0.0036,0.0158,0.0003,0.0477,1314.78
83,1920,1080,0.0259,0.0010,0.0035,0.0159,0.0003,0.0465,1314.78
84,1920,1080,0.0275,0.0011,0.0037,0.0160,0.0003,0.0486,1314.78
85,1920,1080,0.0262,0.0011,0.0035,0.0160,0.0004,0.0472,1314.78
86,1920,1080,0.0259,0.0010,0.0034,0.0160,0.0004,0.0468,1314.78
87,1920,1080,0.0268,0.0010,0.0038,0.0163,0.0002,0.0481,1314.78
88,1920,1080,0.0335,0.0010,0.0035,0.0160,0.0002,0.0542,1314.78
89,1920,1080,0.0263,0.0009,0.0034,0.0158,0.0002,0.0466,1314.78
