frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1920,1080,0.0162,0.0009,0.0053,0.0513,0.0001,0.0738,1842.42
1,1920,1080,0.0192,0.0008,0.0053,0.0140,0.0001,0.0393,1854.89
2,1920,1080,0.0143,0.0008,0.0052,0.0138,0.0001,0.0342,1855.14
3,1920,1080,0.0143,0.0008,0.0044,0.0138,0.0001,0.0335,1855.14
4,1920,1080,0.0143,0.0008,0.0047,0.0138,0.0001,0.0338,1855.14
5,1920,1080,0.0144,0.0008,0.0048,0.0142,0.0001,0.0343,1855.14
6,1920,1080,0.0144,0.0008,0.0052,0.0138,0.0001,0.0343,1855.14
7,1920,1080,0.0144,0.0008,0.0056,0.0138,0.0001,0.0348,1855.14
8,1920,1080,0.0144,0.0008,0.0052,0.0138,0.0001,0.0342,1855.14
9,1920,1080,0.0145,0.0008,0.0052,0.0138,0.0001,0.0344,1855.14
10,1920,1080,0.0145,0.0008,0.0052,0.0138,0.0001,0.0344,1855.14
11,1920,1080,0.0145,0.0008,0.0052,0.0138,0.0001,0.0343,1855.14
12,1920,1080,0.0146,0.0008,0.0051,0.0138,0.0001,0.0344,1855.14
13,1920,1080,0.0146,0.0008,0.0052,0.0138,0.0001,0.0345,1855.14
14,1920,1080,0.0145,0.0008,0.0052,0.0138,0.0001,0.0344,1855.14
15,1920,1080,0.0144,0.0008,0.0056,0.0138,0.0001,0.0347,1855.14
16,1920,1080,0.0145,0.0008,0.0051,0.0138,0.0001,0.0343,1855.14
17,1920,1080,0.0146,0.0008,0.0051,0.0140,0.0001,0.0346,1855.14
18,1920,1080,0.0146,0.0008,0.0046,0.0138,0.0001,0.0340,1855.14
19,1920,1080,0.0144,0.0008,0.0046,0.0138,0.0001,0.0338,1855.14
20,1920,1080,0.0146,0.0008,0.0051,0.0138,0.0001,0.0344,1855.14
21,1920,1080,0.0147,0.0008,0.0047,0.0138,0.0001,0.0340,1855.14
22,1920,1080,0.0146,0.0008,0.0051,0.0138,0.0001,0.0343,1855.14
23,1920,1080,0.0146,0.0008,0.0046,0.0142,0.0001,0.0343,1855.14
24,1920,1080,0.0146,0.0008,0.0046,0.0138,0.0001,0.0340,1855.14
25,1920,1080,0.0146,0.0008,0.0040,0.0138,0.0001,0.0332,1855.14
26,1920,1080,0.0145,0.0008,0.0047,0.0138,0.0001,0.0339,1855.14
27,1920,1080,0.0144,0.0008,0.0047,0.0141,0.0001,0.0341,1855.14
