frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
65,1173,880,0.0118,0.0005,0.0030,0.0159,0.0006,0.0317,1305.93
66,1173,880,0.0143,0.0006,0.0030,0.0159,0.0005,0.0343,1305.93
67,1173,880,0.0132,0.0005,0.0030,0.0160,0.0005,0.0331,1305.93
68,1173,880,0.0119,0.0005,0.0029,0.0159,0.0005,0.0317,1305.93
69,1173,880,0.0121,0.0005,0.0028,0.0159,0.0006,0.0320,1305.93
70,1173,880,0.0119,0.0005,0.0029,0.0159,0.0005,0.0317,1305.93
71,1173,880,0.0160,0.0005,0.0029,0.0160,0.0005,0.0359,1305.93
72,1173,880,0.0124,0.0005,0.0029,0.0161,0.0005,0.0324,1305.93
73,1173,880,0.0126,0.0005,0.0029,0.0160,0.0005,0.0326,1305.93
74,1173,880,0.0126,0.0005,0.0029,0.0159,0.0005,0.0324,1305.93
75,1173,880,0.0126,0.0006,0.0029,0.0160,0.0005,0.0327,1305.93
76,1173,880,0.0179,0.0005,0.0063,0.0161,0.0005,0.0413,1305.93
77,1173,880,0.0126,0.0005,0.0028,0.0159,0.0005,0.0324,1305.93
78,1173,880,0.0140,0.0005,0.0029,0.0160,0.0006,0.0340,1305.93
79,1173,880,0.0129,0.0005,0.0029,0.0160,0.0006,0.0328,1305.93
80,1173,880,0.0128,0.0005,0.0029,0.0159,0.0005,0.0326,1305.93
81,1173,880,0.0165,0.0006,0.0030,0.0160,0.0005,0.0366,1305.93
82,1173,880,0.0129,0.0005,0.0030,0.0160,0.0005,0.0330,1305.93
83,1173,880,0.0129,0.0005,0.0029,0.0160,0.0005,0.0328,1305.93
84,1173,880,0.0129,0.0005,0.0030,0.0160,0.0005,0.0329,1305.93
85,1173,880,0.0130,0.0005,0.0028,0.0160,0.0005,0.0329,1305.93
86,1173,880,0.0191,0.0005,0.0030,0.0160,0.0005,0.0391,1305.93
87,1173,880,0.0129,0.0005,0.0029,0.0161,0.0005,0.0329,1305.93
88,1173,880,0.0131,0.0006,0.0029,0.0160,0.0006,0.0331,1305.93
89,1173,880,0.0143,0.0006,0.0029,0.0160,0.0005,0.0343,1305.93
90,1173,880,0.0130,0.0005,0.0029,0.0159,0.0005,0.0328,1305.93
91,1173,880,0.0158,0.0005,0.0029,0.0159,0.0005,0.0356,1305.93
92,1173,880,0.0131,0.0005,0.0030,0.0159,0.0005,0.0331,1305.93
93,1173,880,0.0132,0.0005,0.0029,0.0160,0.0005,0.0331,1305.93
94,1173,880,0.0133,0.0006,0.0032,0.0171,0.0006,0.0349,1305.93
95,1173,880,0.0165,0.0007,0.0034,0.0178,0.0006,0.0389,1305.93
96,1173,880,0.0210,0.0006,0.0033,0.0174,0.0006,0.0429,1305.93
97,1173,880,0.0134,0.0006,0.0030,0.0164,0.0006,0.0339,1305.93
98,1173,880,0.0130,0.0006,0.0031,0.0167,0.0006,0.0339,1305.93
99,1173,880,0.0147,0.0006,0.0032,0.0164,0.0006,0.0354,1305.93
100,1173,880,0.0144,0.0006,0.0031,0.0164,0.0007,0.0352,1305.93
101,1173,880,0.0138,0.0006,0.0033,0.0166,0.0006,0.0349,1305.93
102,1173,880,0.0132,0.0007,0.0033,0.0169,0.0006,0.0348,1305.93
103,1173,880,0.0135,0.0005,0.0030,0.0162,0.0005,0.0339,1305.93
104,1173,880,0.0133,0.0005,0.0031,0.0163,0.0005,0.0337,1305.93
105,1173,880,0.0137,0.0006,0.0031,0.0171,0.0005,0.0351,1305.93
106,1173,880,0.0172,0.0008,0.0033,0.0172,0.0006,0.0391,1305.93
107,1173,880,0.0160,0.0006,0.0031,0.0164,0.0007,0.0369,1305.93
108,1173,880,0.0134,0.0007,0.0031,0.0163,0.0007,0.0341,1305.93
109,1173,880,0.0133,0.0005,0.0030,0.0160,0.0005,0.0332,1305.93
110,1173,880,0.0145,0.0006,0.0030,0.0161,0.0005,0.0348,1305.93
111,1173,880,0.0134,0.0006,0.0031,0.0161,0.0005,0.0337,1305.93
112,1173,880,0.0146,0.0006,0.0031,0.0160,0.0007,0.0350,1305.93
113,1173,880,0.0135,0.0006,0.0031,0.0162,0.0005,0.0339,1305.93
114,1173,880,0.0169,0.0006,0.0030,0.0161,0.0006,0.0372,1305.93
115,1173,880,0.0129,0.0005,0.0031,0.0159,0.0006,0.0331,1305.93
116,1173,880,0.0130,0.0005,0.0029,0.0159,0.0006,0.0330,1305.93
117,1173,880,0.0130,0.0005,0.0029,0.0160,0.0007,0.0331,1305.93
118,1173,880,0.0143,0.0006,0.0030,0.0197,0.0013,0.0389,1305.93
119,1173,880,0.0161,0.0006,0.0042,0.0172,0.0006,0.0386,1305.93
120,1173,880,0.0131,0.0006,0.0031,0.0164,0.0011,0.0343,1305.93
121,1173,880,0.0143,0.0006,0.0037,0.0162,0.0006,0.0354,1305.93
122,1173,880,0.0135,0.0005,0.0032,0.0162,0.0006,0.0340,1305.93
123,1173,880,0.0133,0.0006,0.0031,0.0162,0.0006,0.0337,1305.93
124,1173,880,0.0162,0.0006,0.0030,0.0165,0.0005,0.0368,1305.93
125,1173,880,0.0129,0.0005,0.0031,0.0163,0.0006,0.0333,1305.93
126,1173,880,0.0129,0.0005,0.0032,0.0163,0.0005,0.0334,1305.93
127,1173,880,0.0134,0.0005,0.0031,0.0161,0.0006,0.0338,1305.93
128,1173,880,0.0129,0.0005,0.0030,0.0162,0.0006,0.0331,1305.93
129,1173,880,0.0203,0.0006,0.0030,0.0163,0.0006,0.0408,1305.93
130,1173,880,0.0132,0.0005,0.0031,0.0161,0.0007,0.0337,1305.93
131,1173,880,0.0133,0.0005,0.0034,0.0160,0.0005,0.0338,1305.93
132,1173,880,0.0137,0.0005,0.0031,0.0160,0.0005,0.0338,1305.93
133,1173,880,0.0124,0.0005,0.0029,0.0160,0.0005,0.0322,1305.93
134,1173,880,0.0171,0.0006,0.0030,0.0159,0.0005,0.0371,1305.93
135,1173,880,0.0123,0.0005,0.0028,0.0160,0.0005,0.0321,1305.93
136,1173,880,0.0124,0.0005,0.0029,0.0160,0.0005,0.0324,1305.93
137,1173,880,0.0123,0.0005,0.0029,0.0159,0.0004,0.0320,1305.93
138,1173,880,0.0123,0.0005,0.0028,0.0159,0.0005,0.0320,1305.93
139,1173,880,0.0157,0.0005,0.0030,0.0173,0.0014,0.0379,1305.93
140,1173,880,0.0141,0.0005,0.0029,0.0160,0.0005,0.0340,1305.93
141,1173,880,0.0124,0.0005,0.0030,0.0158,0.0005,0.0322,1305.93
142,1173,880,0.0137,0.0005,0.0029,0.0160,0.0004,0.0336,1305.93
143,1173,880,0.0125,0.0005,0.0029,0.0159,0.0005,0.0324,1305.93
144,1173,880,0.0174,0.0005,0.0030,0.0159,0.0004,0.0372,1305.93
145,1173,880,0.0129,0.0005,0.0028,0.0160,0.0005,0.0327,1305.93
146,1173,880,0.0125,0.0005,0.0029,0.0160,0.0005,0.0324,1305.93
147,1173,880,0.0124,0.0005,0.0029,0.0159,0.0005,0.0323,1305.93
148,1173,880,0.0125,0.0005,0.0030,0.0159,0.0005,0.0324,1305.93
149,1173,880,0.0212,0.0005,0.0029,0.0159,0.0005,0.0410,1305.93
150,1173,880,0.0126,0.0006,0.0029,0.0160,0.0005,0.0326,1305.93
151,1173,880,0.0124,0.0005,0.0028,0.0159,0.0005,0.0320,1305.93
152,1173,880,0.0125,0.0005,0.0031,0.0159,0.0005,0.0325,1305.93
153,1173,880,0.0132,0.0005,0.0030,0.0158,0.0005,0.0330,1305.93
154,1173,880,0.0195,0.0005,0.0030,0.0159,0.0005,0.0393,1305.93
155,1173,880,0.0126,0.0005,0.0029,0.0159,0.0005,0.0323,1305.93
156,1173,880,0.0127,0.0005,0.0030,0.0159,0.0005,0.0325,1305.93
157,1173,880,0.0126,0.0005,0.0028,0.0160,0.0005,0.0324,1305.93
158,1173,880,0.0126,0.0005,0.0029,0.0159,0.0005,0.0324,1305.93
159,1173,880,0.0154,0.0006,0.0030,0.0161,0.0007,0.0358,1305.93
160,1173,880,0.0130,0.0005,0.0029,0.0159,0.0006,0.0329,1305.93
161,1173,880,0.0125,0.0005,0.0029,0.0161,0.0005,0.0326,1305.93
162,1173,880,0.0127,0.0006,0.0030,0.0160,0.0005,0.0328,1305.93
163,1173,880,0.0126,0.0005,0.0031,0.0160,0.0006,0.0328,1305.93
164,1173,880,0.0156,0.0006,0.0030,0.0175,0.0005,0.0373,1305.93
165,1173,880,0.0126,0.0005,0.0029,0.0159,0.0004,0.0324,1305.93
166,1173,880,0.0127,0.0005,0.0029,0.0160,0.0005,0.0325,1305.93
167,1173,880,0.0127,0.0005,0.0029,0.0159,0.0005,0.0325,1305.93
168,1173,880,0.0127,0.0005,0.0029,0.0160,0.0005,0.0326,1305.93
169,1173,880,0.0162,0.0005,0.0029,0.0160,0.0005,0.0361,1305.93
170,1173,880,0.0128,0.0005,0.0029,0.0158,0.0005,0.0325,1305.93
171,1173,880,0.0126,0.0006,0.0029,0.0159,0.0005,0.0325,1305.93
172,1173,880,0.0127,0.0005,0.0029,0.0160,0.0005,0.0325,1305.93
173,1173,880,0.0130,0.0005,0.0028,0.0159,0.0005,0.0327,1305.93
174,1173,880,0.0138,0.0005,0.0029,0.0159,0.0005,0.0336,1305.93
175,1173,880,0.0128,0.0005,0.0028,0.0162,0.0005,0.0328,1305.93
176,1173,880,0.0127,0.0006,0.0030,0.0161,0.0006,0.0330,1305.93
177,1173,880,0.0128,0.0005,0.0030,0.0162,0.0008,0.0334,1305.93
178,1173,880,0.0154,0.0005,0.0029,0.0161,0.0005,0.0355,1305.93
179,1173,880,0.0173,0.0005,0.0030,0.0159,0.0004,0.0371,1305.93
180,1173,880,0.0128,0.0005,0.0028,0.0159,0.0004,0.0325,1305.93
181,1173,880,0.0129,0.0005,0.0030,0.0160,0.0004,0.0328,1305.93
182,1173,880,0.0128,0.0005,0.0028,0.0159,0.0004,0.0324,1305.93
183,1173,880,0.0128,0.0006,0.0029,0.0160,0.0004,0.0327,1305.93
184,1173,880,0.0144,0.0006,0.0029,0.0158,0.0004,0.0341,1305.93
185,1173,880,0.0130,0.0005,0.0028,0.0158,0.0004,0.0326,1305.93
186,1173,880,0.0132,0.0005,0.0028,0.0159,0.0005,0.0329,1305.93
187,1173,880,0.0131,0.0005,0.0029,0.0159,0.0004,0.0328,1305.93
188,1173,880,0.0128,0.0005,0.0030,0.0160,0.0004,0.0327,1305.93
189,1173,880,0.0128,0.0006,0.0030,0.0158,0.0005,0.0326,1305.93
190,1173,880,0.0167,0.0005,0.0030,0.0160,0.0005,0.0367,1305.93
191,1173,880,0.0128,0.0006,0.0028,0.0161,0.0004,0.0327,1305.93
192,1173,880,0.0129,0.0005,0.0029,0.0159,0.0005,0.0326,1305.93
193,1173,880,0.0129,0.0005,0.0029,0.0159,0.0005,0.0328,1305.93
194,1173,880,0.0130,0.0005,0.0029,0.0160,0.0005,0.0328,1305.93
195,1173,880,0.0154,0.0006,0.0029,0.0161,0.0005,0.0355,1305.93
196,1173,880,0.0128,0.0005,0.0027,0.0160,0.0005,0.0325,1305.93
197,1173,880,0.0128,0.0005,0.0029,0.0160,0.0004,0.0327,1305.93
198,1173,880,0.0126,0.0005,0.0029,0.0163,0.0005,0.0328,1305.93
