frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1173,880,0.0082,0.0004,0.0041,0.0409,0.0002,0.0538,1832.00
1,1173,880,0.0085,0.0004,0.0023,0.0072,0.0002,0.0186,1837.04
2,1173,880,0.0076,0.0004,0.0022,0.0070,0.0002,0.0174,1837.29
3,1173,880,0.0075,0.0004,0.0022,0.0071,0.0002,0.0174,1837.29
4,1173,880,0.0075,0.0004,0.0022,0.0070,0.0002,0.0173,1837.29
5,1173,880,0.0074,0.0004,0.0022,0.0070,0.0002,0.0172,1837.29
6,1173,880,0.0075,0.0004,0.0022,0.0071,0.0002,0.0173,1837.29
7,1173,880,0.0074,0.0004,0.0022,0.0073,0.0002,0.0174,1837.29
8,1173,880,0.0074,0.0004,0.0023,0.0072,0.0002,0.0176,1837.29
9,1173,880,0.0074,0.0004,0.0022,0.0070,0.0002,0.0171,1837.29
10,1173,880,0.0074,0.0004,0.0022,0.0070,0.0002,0.0171,1837.29
11,1173,880,0.0073,0.0004,0.0022,0.0070,0.0002,0.0171,1837.29
12,1173,880,0.0073,0.0004,0.0022,0.0070,0.0002,0.0171,1837.29
13,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0170,1837.29
14,1173,880,0.0073,0.0004,0.0022,0.0070,0.0002,0.0171,1837.29
15,1173,880,0.0073,0.0004,0.0022,0.0070,0.0002,0.0171,1837.29
16,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0170,1837.29
17,1173,880,0.0073,0.0004,0.0022,0.0071,0.0002,0.0171,1837.29
18,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0170,1837.29
19,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
20,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0170,1837.29
21,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0170,1837.29
22,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
23,1173,880,0.0072,0.0004,0.0021,0.0070,0.0002,0.0169,1837.29
24,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
25,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
26,1173,880,0.0071,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
27,1173,880,0.0071,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
28,1173,880,0.0071,0.0004,0.0021,0.0070,0.0002,0.0169,1837.29
29,1173,880,0.0071,0.0004,0.0021,0.0071,0.0002,0.0169,1837.29
30,1173,880,0.0072,0.0004,0.0021,0.0070,0.0002,0.0168,1837.29
31,1173,880,0.0071,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
32,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
33,1173,880,0.0072,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
34,1173,880,0.0071,0.0004,0.0022,0.0070,0.0002,0.0169,1837.29
35,1173,880,0.0072,0.0004,0.0021,0.0070,0.0002,0.0169,1837.29
36,1173,880,0.0072,0.0004,0.0021,0.0070,0.0002,0.0169,1837.29
37,1173,880,0.0072,0.0004,0.0021,0.0070,0.0002,0.0169,1837.29
38,1173,880,0.0072,0.0004,0.0021,0.0070,0.0002,0.0169,1837.29
