frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1920,1080,0.0262,0.0011,0.0040,0.0861,0.0005,0.1179,1302.73
1,1920,1080,0.0872,0.0017,0.0038,0.0170,0.0042,0.1139,1315.35
2,1920,1080,0.0255,0.0010,0.0037,0.0159,0.0004,0.0466,1315.50
3,1920,1080,0.0238,0.0011,0.0036,0.0160,0.0004,0.0449,1315.50
4,1920,1080,0.0262,0.0011,0.0038,0.0164,0.0004,0.0480,1315.50
5,1920,1080,0.0237,0.0011,0.0036,0.0161,0.0004,0.0448,1315.50
6,1920,1080,0.0379,0.0011,0.0037,0.0160,0.0003,0.0589,1315.68
7,1920,1080,0.0244,0.0011,0.0037,0.0159,0.0003,0.0455,1315.68
8,1920,1080,0.0237,0.0010,0.0036,0.0160,0.0003,0.0446,1315.68
9,1920,1080,0.0240,0.0011,0.0036,0.0159,0.0003,0.0448,1315.68
10,1920,1080,0.0283,0.0010,0.0037,0.0159,0.0003,0.0492,1315.68
11,1920,1080,0.0246,0.0010,0.0038,0.0166,0.0003,0.0462,1315.68
12,1920,1080,0.0239,0.0010,0.0035,0.0159,0.0003,0.0446,1315.68
13,1920,1080,0.0237,0.0010,0.0036,0.0160,0.0003,0.0446,1315.68
14,1920,1080,0.0251,0.0010,0.0036,0.0159,0.0002,0.0459,1315.68
15,1920,1080,0.0235,0.0010,0.0034,0.0159,0.0002,0.0441,1315.68
16,1920,1080,0.0235,0.0010,0.0036,0.0160,0.0003,0.0443,1315.68
17,1920,1080,0.0237,0.0011,0.0035,0.0157,0.0003,0.0444,1315.68
18,1920,1080,0.0264,0.0011,0.0036,0.0161,0.0003,0.0475,1315.68
19,1920,1080,0.0239,0.0011,0.0039,0.0163,0.0003,0.0455,1315.68
20,1920,1080,0.0243,0.0010,0.0036,0.0159,0.0002,0.0450,1315.68
21,1920,1080,0.0241,0.0010,0.0035,0.0159,0.0002,0.0447,1315.68
22,1920,1080,0.0288,0.0011,0.0036,0.0160,0.0004,0.0498,1315.68
23,1920,1080,0.0243,0.0011,0.0036,0.0159,0.0003,0.0452,1315.68
24,1920,1080,0.0256,0.0010,0.0038,0.0170,0.0003,0.0478,1315.68
25,1920,1080,0.0248,0.0011,0.0036,0.0158,0.0003,0.0456,1315.68
26,1920,1080,0.0325,0.0010,0.0036,0.0157,0.0003,0.0531,1315.68
27,1920,1080,0.0243,0.0011,0.0036,0.0159,0.0003,0.0451,1315.68
28,1920,1080,0.0247,0.0011,0.0034,0.0160,0.0003,0.0455,1315.68
29,1920,1080,0.0246,0.0010,0.0035,0.0163,0.0008,0.0462,1315.68
30,1920,1080,0.0278,0.0010,0.0037,0.0159,0.0004,0.0487,1315.68
31,1920,1080,0.0243,0.0010,0.0036,0.0159,0.0003,0.0451,1315.68
32,1920,1080,0.0241,0.0011,0.0036,0.0160,0.0004,0.0452,1315.68
33,1920,1080,0.0243,0.0010,0.0036,0.0160,0.0003,0.0451,1315.68
34,1920,1080,0.0265,0.0011,0.0037,0.0161,0.0003,0.0476,1315.68
35,1920,1080,0.0244,0.0011,0.0037,0.0158,0.0002,0.0452,1315.68
36,1920,1080,0.0242,0.0011,0.0036,0.0160,0.0003,0.0451,1315.68
37,1920,1080,0.0254,0.0010,0.0035,0.0160,0.0002,0.0462,1315.68
38,1920,1080,0.0285,0.0012,0.0034,0.0159,0.0004,0.0494,1315.68
39,1920,1080,0.0237,0.0011,0.0037,0.0166,0.0002,0.0454,1315.68
40,1920,1080,0.0245,0.0010,0.0034,0.0162,0.0005,0.0456,1315.68
41,1920,1080,0.0255,0.0011,0.0039,0.0161,0.0002,0.0468,1315.68
42,1920,1080,0.0319,0.0011,0.0038,0.0161,0.0003,0.0532,1315.68
43,1920,1080,0.0237,0.0011,0.0037,0.0162,0.0004,0.0451,1315.68
44,1920,1080,0.0266,0.0011,0.0036,0.0161,0.0003,0.0477,1315.68
45,1920,1080,0.0240,0.0012,0.0036,0.0164,0.0003,0.0456,1315.68
46,1920,1080,0.0282,0.0011,0.0037,0.0159,0.0003,0.0492,1315.68
47,1920,1080,0.0241,0.0010,0.0035,0.0158,0.0003,0.0447,1315.68
48,1920,1080,0.0240,0.0011,0.0036,0.0161,0.0003,0.0452,1315.68
49,1920,1080,0.0244,0.0010,0.0035,0.0160,0.0003,0.0452,1315.68
50,1920,1080,0.0264,0.0010,0.0038,0.0159,0.0004,0.0474,1315.68
51,1920,1080,0.0269,0.0011,0.0039,0.0163,0.0003,0.0485,1315.68
52,1920,1080,0.0258,0.0010,0.0036,0.0160,0.0004,0.0468,1315.68
53,1920,1080,0.0257,0.0010,0.0038,0.0160,0.0003,0.0468,1315.68
54,1920,1080,0.0288,0.0010,0.0034,0.0158,0.0002,0.0493,1315.68
55,1920,1080,0.0241,0.0011,0.0034,0.0160,0.0003,0.0448,1315.68
